redshift,dL_riess,erro_riess
0.50349,2782.754789056141,21.11846207874494
0.4952,2789.4397912953114,19.538048782974503
0.6782,4447.002232071667,38.23370900649003
0.8672,5004.212933728921,38.34829525577985
0.7992,4924.70368017507,39.61092987503402
0.37129,2045.9944732781387,19.536007874769044
0.35568,1850.1104338358086,17.62790912804098
0.28391,1389.742282243069,13.545960582333196
0.46691,3077.5418595064743,28.21465838096052
0.94791,3763.743457213694,40.47188578494372
0.69391,3934.054316372903,36.69371558360718
0.89791,5851.22778466052,43.17860180277136
0.78991,4819.191937413913,38.440260094708755
0.59091,3242.274721666054,31.86309049900088
0.2102,968.1850722281249,10.36971514082323
0.8592,3977.6976997026068,30.938390030613526
0.5592,2889.7417352889584,22.86986816162033
0.9972,6793.276753822271,43.13093392784832
0.5834,3458.6427853094715,24.092142783935643
0.7972,3409.2910876064275,28.325585077906076
0.9142,5971.026284026361,38.09132742828691
0.94921,4476.824308091738,37.547430985396915
0.7342,4266.439556227939,30.36979086780099
0.7662,4194.49465260479,31.813845368958052
0.9842,6513.577493070893,46.44259713735023
0.7012,3750.2064838227693,31.200192128010517
0.83716,4591.638846868998,48.617862999101696
0.37016,1915.4540447390893,17.803078851423297
0.35816,1748.3889035902398,15.208090162660033
0.52216,3038.232609505217,24.23380258821643
0.70116,3328.712910217335,34.801148621545266
0.74526,3884.9823242112484,31.90019250016731
0.59116,3264.911180151418,23.572972234279646
0.62039,3412.577922742216,24.080688415962975
1.0024,6043.817047594752,52.57321495503875
0.6104,3683.5837189379868,24.93466722090775
0.35819,1757.347994167808,14.47140240720598
0.45138,2093.719700317103,16.95790478487765
0.55239,2647.631203023873,19.901662020266407
0.75039,3817.064108126208,32.51500819543823
0.82238,5364.832368108992,34.45889469808106
0.95039,7262.672083401987,48.511663342435305
0.34039,1736.6620628022156,14.457631582223597
0.8104,4199.429529940928,38.78293828999921
0.61191,3751.4563836954426,33.12449389104242
0.54891,2591.4818988994143,23.833747479741604
1.02991,6976.465991238323,47.07480685215293
0.42291,2174.3092190776947,17.878118351254592
0.70191,4443.758844753542,32.63489408326452
0.68591,3860.1850102126145,35.897562763612015
0.93291,7382.334261870335,45.678362802424274
0.74991,3902.0134687094264,30.315867797871434
0.46891,2590.3671988781557,19.310303666387583
0.95991,7555.164875165654,49.35000099058298
0.8412,5209.12069251839,38.54365161316543
0.5632,3060.5070278924186,21.83972463627282
0.8292,6563.997949582578,42.743807417508805
0.57921,3120.1744518932537,21.281279602968084
0.8652,5813.148160956467,38.05212892577634
0.8592,4365.055917895431,37.81327336892704
0.58621,3514.0051370768697,27.661923917212484
0.4892,2680.689979104294,19.9955756714399
0.68921,3876.049385528454,29.98718595173791
0.32416,1654.0544156253,14.024268917571431
0.18516,877.9879768727079,9.523338420783391
0.68116,4119.96402646372,30.873059760258382
0.92116,5482.217287946687,44.21112140841106
0.42816,2493.8195618783816,20.995065448109113
0.69916,3918.4679290918316,37.409491388861056
0.57516,3230.789260148803,26.805495295183928
0.51116,3244.109140252606,23.83762717003734
0.64116,3934.3465969152444,29.429338710395637
0.35116,1995.0930778666632,17.80290740008492
0.34916,1930.165321058406,17.106785597810546
0.35486,2002.7437902485678,18.490898732771257
0.87116,5942.851031444394,35.12313219916441
0.92516,5283.702467011509,43.49136696942792
0.4194,2329.4864764283247,19.74016818470698
0.89038,5725.23169504258,42.84736222219311
0.48038,2562.9183637253504,19.095113271956723
0.58038,3349.5249075259244,31.458511118221104
0.80538,3676.057202257053,33.10547449682991
0.66438,4258.409764493136,30.537200830485407
0.74538,4535.467251007828,31.6729210849451
0.7364,4407.607906484538,29.046502978562945
0.37039,1819.4331846237935,15.78911321166462
0.85039,6049.898858875218,35.9171010719014
0.21938,1059.0087504770017,10.845573836381439
0.64739,3489.751484276938,26.20324208398706
0.60038,3161.579889904033,28.898401133093866
0.76039,4073.4927970383847,31.704652108687057
0.47039,2655.5710004281937,19.367878500267704
0.49791,2717.9216035546237,23.47874987615737
0.50791,2702.5534974282914,21.38671877916243
0.58791,3354.811405496317,26.410372124064526
0.69992,3575.8444440545272,29.54735845479335
0.76191,4349.63873976678,31.56342168439247
0.78891,5266.407869403845,33.142039783418376
0.40591,2336.38059226981,17.571991417544375
0.80892,5983.918860824804,42.75475657757667
0.58392,3656.942901907961,25.176564646631636
0.72091,4255.562300000621,33.48863782235079
0.83791,5839.491001482678,37.37158657790581
0.80691,4241.365279048158,38.502251431534326
0.50016,2863.8004308507543,25.352004096009107
0.53316,2607.1431057189175,26.400126948801407
0.82116,5203.685402305436,53.61840509407036
0.12516,560.9714576002253,7.743257187127953
0.44316,2321.335110393582,21.101586766585836
0.68339,4230.035643712508,45.34649705560879
0.72639,4237.7547727920255,32.821759993262
0.40439,2201.747010376768,16.221041874459505
0.69038,3221.223812105405,30.389692524974325
0.57639,3204.855613882485,22.5872481698808
0.72039,4184.972807288642,35.487622557806866
0.55091,3095.059799302079,23.19384517317453
0.8489,6024.599137234893,48.695253665343316
0.43591,2127.791476903815,16.346778322036776
0.30191,1602.912619219496,13.214675395880256
0.58119,3590.7653144764977,28.48073387938236
0.34621,1901.2433924790712,16.14380139573946
0.3312,1620.1506232974264,14.843343812919397
0.44939,2643.6001173346376,23.770183988388712
0.2916,1406.954921499824,14.478244849102476
0.46109,2540.5175722227855,30.196764439045424
0.63291,3784.8068620618083,33.37337495360744
0.26891,1236.831551664597,12.202167314694284
0.92591,6025.947982520227,50.10903915778806
0.62591,3577.9512759720797,25.29061719587727
0.60891,3531.3031416837202,25.300155105202307
0.57891,3124.518024041004,27.54457261506941
0.7202,3945.111608023811,34.869986009548555
0.7672,5426.902912844475,35.68642226629448
0.3682,2026.9101022937834,15.06061120072768
0.8492,5150.970745714806,35.45311386662344
0.77721,3803.498965032292,31.404231317235375
0.58421,3236.8599368918763,20.542513448968407
0.5892,3236.904970362195,24.923755395755286
0.7692,3987.506747363652,33.22817181578968
0.5142,2966.538004331904,23.29192881513312
0.63821,2791.074182379637,29.629866394131888
0.43521,2345.1970844817656,20.706686703990794
0.58421,3505.382369509462,28.669752862965428
0.66259,3627.2920260689607,32.778140956137264
0.62116,3335.162312018441,33.554739779504146
0.41616,2275.52977303476,18.298804162141813
0.45117,2088.974641971808,19.15893224605634
0.73316,4890.038370052689,42.10335641661978
0.74116,6269.988533112902,46.34626912665766
0.34916,1595.769216748502,14.97134169119099
0.51416,3155.0660775102183,24.930519014904085
0.64339,3640.6458140698255,28.933303022294634
0.4704,2289.550399380716,18.903967065195932
0.26338,1223.4283222814606,12.159652514854887
0.7424,4056.134109984338,35.1832780718401
0.91039,6273.398515176305,45.45563508019173
0.3374,1714.991723387901,14.307706232828451
0.98339,4311.693531400553,39.81797404319205
0.81338,5532.688136750208,36.816670338464824
0.8174,5452.842917641812,40.753158759126265
0.96038,4345.931284391648,38.70028174771251
0.75639,5827.348722538084,37.4025425488129
0.87891,6360.095974941687,44.63819611841551
0.80991,4280.758359392276,34.11859410911512
0.62791,3335.768008515896,25.10838788685697
0.93491,5114.793449089833,48.115482321277916
0.69791,4498.595676302851,31.537214456885387
0.76791,6322.507587168082,46.46468966681941
0.86491,5115.154593551266,39.91491512638344
0.51491,2936.0771012984515,21.422841570292515
0.47091,2886.3658229920707,23.96265435046872
0.92891,6412.428839952478,47.56155517813777
0.6312,3261.1927688208702,25.472539950223002
0.6162,3338.0285336932734,26.246229258341312
0.5652,3280.7789896398463,25.627332422496107
0.55819,3085.5333408857246,23.656684891114583
0.7362,4345.1197024480425,35.37309849534108
0.2622,1201.766506116573,12.84605396426751
0.7622,4240.5217667496145,31.4313556935985
0.8592,6427.872418084774,49.72428008797142
0.5592,3542.59134688129,29.190817148689742
0.48016,2563.25601358946,18.692308046379125
0.92116,4145.9084585100345,41.653212739174954
0.47516,2533.5303565265954,18.906950653447463
0.89216,5648.073221378594,44.12838003731305
0.63116,2749.9712091745705,25.147448174639752
0.73516,3891.456574417512,37.47211379609276
0.41816,2136.2614279148424,18.470472357472186
0.53516,2831.884729981437,25.241669169377356
0.73416,4732.962200931897,35.55023164230283
0.60916,3385.5312708237575,30.46982218193648
0.70116,3922.4732636271115,31.876066138105113
0.98216,5940.716265504454,44.57937972625518
0.75816,4562.21956317884,34.18825843213163
0.64339,3728.686478819812,35.36603243643346
0.51539,3133.8847410073045,34.570606841377376
0.80538,5185.195755525526,35.692759163988875
0.80039,3134.5895212603828,27.761791818048266
0.71538,4039.8095739786677,32.34513408381192
0.76639,4557.760259217169,38.195551972187225
0.90139,6588.567057121105,44.238864912340944
0.71839,4237.455195007951,28.97776659767962
0.57938,3160.6198547975528,23.937578136012903
0.96038,7455.152917885917,44.15064320307204
0.64839,3246.2012939920883,25.49782418823114
0.93639,5364.680228400002,36.85768490294586
0.46138,2552.656933527816,18.37825141770183
0.67039,3805.1127180344474,35.12484880500103
0.24639,1228.623929326959,14.010186894667347
0.63892,3240.5522073355855,33.54319099610254
0.53591,3165.680054232175,21.58301794578496
0.77391,5422.900205284995,41.0991681531984
0.37091,1925.1802689730434,14.789116759914508
0.69992,4649.799548399853,33.905380345821186
0.37391,1977.5225597071433,16.10470579923357
0.85391,4532.257665218185,34.994110220972665
0.60392,3655.7355103943523,26.929532704873964
0.53491,2650.3594356979156,21.361072370219322
0.40091,2017.8320782772523,16.659098044236828
0.37191,1962.278890103024,15.523560805186369
0.84091,3951.3738062742327,43.10523928939688
0.53216,2952.967941002013,24.651965694725003
0.93116,4796.042181125086,54.50756531250829
0.55316,3207.0226173287806,29.015530748658495
0.84116,5270.884095414927,49.37455853456913
0.72739,4316.911817014025,37.93554951060728
0.44238,2459.5545810313406,19.836408518009254
0.2824,1476.2254712546692,13.025594503827179
0.5194,3087.202337111232,20.664604029243137
1.06039,5866.111971678569,40.11019048176491
0.26838,1268.2633826923882,11.516158677700973
0.2504,1244.4688302036027,12.613881722105802
0.69892,4213.671858669042,38.20038072466172
0.73091,3691.3080244153566,30.565732408325992
0.99891,5988.805536582545,38.595803574007284
0.40991,2195.0420592869173,16.580522745847944
0.12694,600.2900302598508,11.951517686122601
0.25609,1250.7528629761277,24.06377502419024
0.08848,381.82045367984597,6.724787220267868
0.11797,507.3644992203232,7.98795518826896
0.18322,827.7393117463915,13.09258138571719
0.1407,677.5253060758288,12.682576117648193
0.15186,673.2799641822111,10.055768433546032
0.09401,443.1635552000405,8.78056814577602
0.28662,1626.4138290112678,24.975737703472774
0.26349,1512.6738419827645,19.926053813820175
0.1431,662.8795454964602,9.87851898896699
0.16035,722.1132110158276,11.341922724154768
0.12303,540.7935530820092,10.408724167238969
0.12608,523.4052032899548,8.962176975125855
0.17315,767.1791806690234,11.1881170269155
0.16431,714.630757901253,11.140476449298584
0.1599,684.2428255822289,10.813467039587227
0.24448,1107.580925681299,16.48223146942601
0.24835,1129.0833372252591,16.95909784584372
0.27544,1296.528142088528,21.508561653893405
0.33051,1636.7016133606999,26.546267273308644
0.33103,1422.2531607726892,25.56176151683264
0.16059,694.3208123542183,10.428540978572318
0.21887,1028.6925460535347,17.24337586135889
0.11991,529.8971654356407,8.1687413019005
0.17839,983.7478252289557,16.828238193226397
0.27923,1474.3063523689063,21.37477375430971
0.18581,896.8884482048384,14.144454074614206
0.06651,286.27997094287224,6.269692176115989
0.258,1201.5823852820947,22.114695615208625
0.2798,1149.3886065244176,20.759068385440457
0.26576,1308.7135632000873,18.94691122328265
0.185,880.5649409262525,12.723580918590338
0.05631,243.54462006226854,5.523804675659561
0.3264,1587.0308784768808,27.68280295566285
0.10886,505.451372593512,8.891055938985144
0.20323,970.5008891253599,16.63138648558628
0.37986,2011.9406289162341,32.586096400891456
0.2116,911.6785485458134,14.776012210517884
0.21353,1016.6297104907653,17.943372327873302
0.14409,657.7654796263375,11.86038741466367
0.25249,1187.5987861103458,21.97252650547272
0.25672,1223.7200872593364,22.379463039165532
0.21885,1193.80761145661,19.096916385272678
0.07891,364.49203459116114,8.829865039935727
0.08282,402.41609828919854,8.369190151358927
0.17028,825.0184976006918,12.16675929147321
0.2367,1042.91879911888,19.288540490793725
0.30569,1193.2852397019828,24.629146290415893
0.08254,360.81360329607764,6.581337329068474
0.18891,777.5872743393107,13.346453869085122
0.08141,359.1160271926928,6.542079650849389
0.25655,1279.418634094649,23.810385974961235
0.12622,598.4714265191571,12.387099718279908
0.10264,497.65173898654814,9.242372730177234
0.12455,570.7754203497666,8.98055653379957
0.37046,2296.640763068096,35.62867566056542
0.20215,825.618894387557,13.017854930090415
0.1799,954.8078339079409,18.126191123258295
0.1618,856.8476169087141,15.351491372465901
0.22669,1043.969134963932,17.164093685188462
0.29683,1406.817208958077,22.59525619307929
0.25029,1397.9221117484083,19.928044047120334
0.14882,694.1660028136047,10.58661207768108
0.14729,646.0738819146486,9.386488619993647
0.21513,1213.87958021873,19.224141298701642
0.14478,637.1636990881561,11.203424074916244
0.13243,683.9350728911808,10.76275924621131
0.21975,1092.381180398293,16.269384803041895
0.38492,2340.8125261673435,30.691422984679228
0.174,859.0477069831887,12.249800916238952
0.17789,818.5071928130103,11.924484729400394
0.29936,1259.2866925860378,19.50923717854105
0.11845,570.9128020388865,9.336531984564546
0.17653,835.4987828412756,11.264191056788475
0.24552,1221.7168964303328,22.282036634101722
0.19611,924.5622373555607,13.641714324656109
0.24852,1166.657154333566,17.161663695832896
0.30632,1588.0052011714445,25.826950207531066
0.24637,1309.4045701024693,19.18911063191049
0.13514,699.5858960392435,11.303897379892794
0.21054,939.6506263420677,14.661326961251577
0.2363,1256.6281258591487,17.220867680736244
0.17851,840.3754008937291,12.874585060215736
0.22068,923.7404208024336,16.131533222962886
0.31494,1542.4989283542775,25.91977004403818
0.18443,911.9898987815409,13.798982745197524
0.26129,1103.5317774345247,19.735226057007033
0.18123,865.6466834478693,12.053403945515655
0.38048,1550.932679011872,28.030890709514402
0.18481,880.8090539833618,12.767960830943688
0.20847,982.5863737380337,14.656137107319452
0.17706,807.9625550534371,12.507690762028965
0.31582,1534.8485515162356,24.67870337142341
0.24973,1319.493975422099,17.14477834729692
0.20368,968.3596602328239,14.402678114743406
0.12336,545.5474902537225,8.801747718894784
0.20318,981.7190480863488,13.972258781147957
0.15339,753.4197754682721,11.360676161604585
0.33439,1776.5267110688553,27.90848083576602
0.1958,1071.4839342423193,17.51446402234126
0.24973,1255.2997227374283,19.25158504305172
0.15509,740.5151486855747,12.961729031459639
0.15596,705.4635502022923,11.879872743351536
0.15837,650.0375188709846,15.479157901246133
0.30938,1319.4839533361896,24.48377840115595
0.24857,1225.5734191655702,19.508950269304332
0.18507,837.6500749354982,16.807030759061593
0.18376,899.9726803224582,14.735663782096088
0.18079,834.6897160433732,15.747606215911533
0.17696,824.8449415867082,15.454008992309882
0.17768,814.5923527518478,13.496498825139318
0.07153,299.9004052333621,8.790155315626771
0.13811,627.3887589948425,10.114987088655223
0.1696,890.0963426590644,15.609862918056278
0.24555,921.0361114116024,17.022360340481516
0.14387,656.6456932945326,9.563317651531799
0.25191,1313.6444938730695,20.01349503909349
0.03652,159.565710712484,4.451891113496197
0.27749,1897.7304675780647,30.366630994049054
0.28746,1384.8411289469273,22.957661206164524
0.19867,990.735160330326,15.62939737304192
0.15999,725.1323891675476,11.13241769849987
0.21075,1166.9450915700108,17.460993528888586
0.23775,1206.6410924930694,16.834986857230813
0.15517,764.8646011679173,12.708233090726413
0.09391,455.0657153049265,8.785604873769188
0.15271,739.9637191895085,11.965393437217953
0.25722,1285.3679821336073,19.22578712489808
0.21226,986.5420863334604,14.578857060073764
0.2454,1145.555534864622,16.078600060708283
0.13696,635.7267937311476,10.486681112278184
0.32569,1571.5598691551359,29.376486748024973
0.10638,470.4706106238571,8.027984356199989
0.40127,2100.98022305483,33.55363682559366
0.18931,846.4835817818016,15.847413194243233
0.19726,882.5776496872176,12.662884952692373
0.12837,594.4186306564254,10.520751241038168
0.12262,553.516390711981,8.640603247604483
0.12715,591.8871196005377,9.437841488964045
0.21323,889.5258748568084,15.907191223680702
0.21099,973.2762129473405,14.574662311236212
0.26856,1374.6477956976846,21.94978325235209
0.20453,1002.7559320827147,14.323343127285492
0.2701,1329.090804348795,18.187670834809197
0.24185,1321.9326706362206,21.348164636401915
0.29114,1187.2640884853902,21.010971080348607
0.35346,1582.7380937595524,27.56933946249081
0.28543,1618.968358192889,25.355539315335303
0.21955,872.7582125656108,16.82579540044836
0.17558,829.9812526833134,13.063637366247393
0.23542,1042.004822192027,17.18684588868048
0.15325,715.4809113987066,11.429748457684966
0.21005,955.5613468611342,18.101066625817655
0.29135,1429.7011004356962,22.51450933488434
0.31376,1577.6167143234422,24.23761275366548
0.13687,623.3537557293707,10.663940546593222
0.29567,1254.7288988122389,24.047941491853944
0.30394,1444.7151702711415,23.12625316838016
0.20557,1010.4999258089407,16.295790748794996
0.1219,547.1915013720195,9.549689818734644
0.17428,780.8931699926102,12.592713875017262
0.24883,1256.9553433897106,18.407196440411838
0.24558,1148.242837960712,19.781863220909276
0.13833,645.1315800840041,11.945662726073165
0.24315,1238.3863801639181,15.445675312117787
0.24267,1173.537475659317,21.58188673629945
0.31468,1479.0577300504149,24.40760027461884
0.27573,1465.8113023817193,23.412918871217357
0.30041,1146.3319664310425,24.9995693634431
0.21728,1041.20489744972,22.692877351988543
0.20335,967.8754925084911,17.29035834323393
0.19025,796.85320361314,19.043594739348706
0.29021,1382.7800025253923,25.943589282623286
0.22786,1053.3494033630466,19.763474526642945
0.31065,1555.6809537355693,24.79821236364329
0.13729,746.5624727499952,13.644017809824652
0.08784,393.6249232506904,8.7832862715904
0.08504,389.2967821323971,8.269417956665977
0.19009,987.409971020958,14.659372365371032
0.09227,423.00970707281266,8.268018705305025
0.12903,584.687445951566,10.629546376787863
0.26166,1262.9937148284746,20.71287560506332
0.26162,1594.4445454941438,25.088773120895954
0.19422,913.8205173936879,15.536642921285042
0.14703,706.0904733734263,10.369618078618098
0.21179,1120.391366699204,21.210195378145862
0.17958,802.949213347712,12.240244044882646
0.19029,998.0404015669438,15.121439643094291
0.3388,1919.6011187508566,29.491993440161906
0.11741,544.8029907960652,8.61356931190184
0.2889,1452.2987421094151,23.464520339785224
0.26405,1244.313982016197,19.914807670064967
0.24961,1450.1583660344468,20.223086535386347
0.22967,1111.0464516319425,15.834694139698172
0.08543,379.6936320969795,6.53575436292061
0.27656,1366.0639386311614,23.999957078991926
0.36193,1820.667878914547,30.376312083600723
0.30021,1409.9769191477783,23.79499359529617
0.11635,545.3596527725794,8.904658087485377
0.15492,772.78434781203,11.587759942896003
0.25037,1376.0618888543654,20.485491218994326
0.25174,1187.1398232573115,17.032167701500462
0.12928,573.6705060765928,9.283555128292322
0.30929,1671.1572754183728,30.081739177622737
0.29888,1662.7088791555545,28.21411046192548
0.27091,1238.0183587356012,24.802373483744724
0.29353,1390.3945402098252,24.366709963843135
0.18979,844.9792660585508,15.323320162441318
0.12376,542.0305915780184,8.79199279717972
0.31288,1560.211655653171,24.869047177151582
0.30915,1719.725676035109,27.196437009823082
0.20267,923.686533742642,16.24263784393258
0.21163,925.1916987839002,13.311700306907575
0.1789,847.8133563322024,14.011498868687292
0.30354,1458.3083384469762,24.54342805119812
0.21457,1061.075892913139,15.760049360625164
0.32045,1754.5770158406528,25.986990203033873
0.21835,1062.7659147049064,17.340924108465796
0.07489,327.0451678528659,6.322196731528679
0.2576,1250.9391867843665,20.555945020018775
0.18468,781.6827509673475,14.07580672598639
0.11628,518.6625418514312,9.053689021498196
0.06426,270.7764806833747,6.733819163141145
0.10288,497.26092604462696,8.887829770591877
0.04397,173.56614174229907,6.820144771745629
0.16595,674.958554716211,12.59771948996561
0.16817,734.7481092204231,13.797196956764468
0.17063,722.1814950349282,13.341096793488443
0.12042,563.215663407273,10.059408574262973
0.13868,651.4617949699377,13.698924117861909
0.2338,1164.415630440994,20.78867242676751
0.24643,1124.8431263858274,19.53606083337572
0.22286,1153.3966851062492,20.58234502778139
0.17915,788.5123503083486,14.054923882578697
0.19718,1001.9440322187028,14.866678932949046
0.22916,1103.6864234879356,18.103723392653063
0.26451,1350.347476855058,24.903170650688512
0.10337,482.2874067341397,7.852769379494044
0.21338,1018.9800988274488,15.4965098822257
0.15653,695.4300941718237,10.595504901650541
0.2434,1116.687980105903,21.599852791507626
0.23652,1286.204165041818,20.4020484946774
0.20852,996.3519593741916,15.295056388963816
0.25104,1167.655620418875,21.808464920144676
0.22534,1137.2414406408564,17.216627107222184
0.28742,1636.514267734973,22.76512131465993
0.32984,1548.617832914706,25.362568413550527
0.24603,1226.2182902841187,16.194917700911237
0.11966,597.51822773878,10.373395880484342
0.32931,1879.839460348917,32.13230074595488
0.21082,962.5082474012785,14.635528072121048
0.20308,984.2262222064658,13.114867146896078
0.28436,1268.6071202359813,20.512913776984497
0.18037,766.49921095088,11.225009327753153
0.2607,1429.9368373802788,20.722624757923437
0.14792,677.5099691133967,9.78643579844408
0.32793,1465.5239034354943,23.461633703224482
0.24206,1437.4973710922732,20.935180965273677
0.22334,1099.6821539231032,16.161458602142545
0.1828,927.1788810924519,15.544002803935761
0.15304,757.2874164841436,10.758420857310318
0.13818,627.5943986985633,9.771217324210028
0.20735,1005.8303147245327,21.244089798890634
0.20313,966.968177680514,14.603741536483103
0.19801,857.4957017999222,14.104300862779592
0.22256,1087.5493449416697,16.221440859800236
0.2734,1240.6307269474341,20.647472693321614
0.18651,923.4433680316708,13.491267453192133
0.15935,668.3058059081884,10.409010008513041
0.21935,1074.7091313659412,15.486780278993235
0.17373,903.9607045494067,13.877106786928334
0.24436,1018.0155392658517,17.493461283404816
0.13353,605.7480519162451,8.877671377140517
0.28332,1363.1129319821896,20.268163004526794
0.17383,783.9195716680728,14.562222889959655
0.19654,958.8315578218696,15.364978447825795
0.36952,2209.6712881067588,29.238728163903
0.20548,937.7385335107908,14.926576411713716
0.17357,790.1821172845875,13.075438373262479
0.12688,570.589688352587,10.321234731903285
0.28434,1356.6636803721972,24.02053401844366
0.19392,897.6800791613392,15.556058634756267
